gene_symbol,gs_name,source,description
Stac2,XBP1_targets_up,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were upregulated upon IRE1a inhibition (FC < -0.5 only)"
Itga2,XBP1_targets_up,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were upregulated upon IRE1a inhibition (FC < -0.5 only)"
Pdpn,XBP1_targets_up,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were upregulated upon IRE1a inhibition (FC < -0.5 only)"
Sec24d,XBP1_targets_up,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were upregulated upon IRE1a inhibition (FC < -0.5 only)"
Pth,XBP1_targets_up,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were upregulated upon IRE1a inhibition (FC < -0.5 only)"
Oasl2,XBP1_targets_up,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were upregulated upon IRE1a inhibition (FC < -0.5 only)"
Bhlha15,XBP1_targets_up,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0589-3#Sec31,"Targets that had Chipseq binding site for XBP1, and were upregulated upon IRE1a inhibition (FC < -0.5 only)"
Angptl6,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec33,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Trib3,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec34,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Ddit3,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec35,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Atf3,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec36,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Slc7a11,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec37,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Cdsn,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec38,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Hspa5,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec39,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Aldh1l2,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec40,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Slc7a5,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec41,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Cyb5r1,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec42,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Nrip2,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec43,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Ppp1r15a,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec44,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Wars,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec45,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Atf5,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec46,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Acot2,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec47,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Mthfd2,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec48,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Paqr3,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec49,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Gpt2,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec50,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Cd74,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec51,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Aars,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec52,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Otub2,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec53,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Nars,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec54,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Aldh18a1,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec55,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Tspyl4,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec56,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Yars,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec57,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Lars,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec58,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Gars,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec59,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Sars,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec60,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Xpot,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec61,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Abcc4,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec62,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Ero1l,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec63,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Akna,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec64,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Mtm1,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec65,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Bcat2,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec66,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Eprs,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec67,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Iars,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec68,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Lonp1,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec69,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Taf15,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec70,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Fam175a,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec71,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Slc20a1,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec72,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
2700007P21Rik,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec73,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Dnaja3,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec74,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Fads3,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec75,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Zfp238,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec76,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Ypel5,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec77,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Nfe2l1,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec78,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Cdh24,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec79,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Deb1,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec80,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Ascc2,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec81,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Atf6,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec82,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Nfu1,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec83,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Gnpnat1,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec84,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
2610528E23Rik,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec85,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Sqstm1,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec86,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Ghitm,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec87,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Eif2s2,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec88,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Phyhd1,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec89,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Clcn3,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec90,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
D4Bwg0951e,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec91,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Gtpbp2,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec92,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
A630007B06Rik,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec93,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Krtcap2,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec94,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Cxadr,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec95,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Cebpg,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec96,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Ddr2,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec97,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Leprotl1,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec98,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Ick,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec99,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Ift172,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec100,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Arhgef2,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec101,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Ube2g2,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec102,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Tmem11,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec103,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Vldlr,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec104,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Eif3c,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec105,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Zc3hav1,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec106,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Dpf2,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec107,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Lgals3,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec108,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Pnrc2,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec109,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Hdac8,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec110,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Vars,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec111,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Hfe,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec112,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Prdm15,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec113,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Erlin1,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec114,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Steap1,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec115,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Stc2,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec116,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Tab2,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec117,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Agap1,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec118,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Tbpl1,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec119,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Snai2,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec120,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Jhdm1d,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec121,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Zfp598,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec122,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
1810031K17Rik,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec123,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Pacsin2,ATF4_CHOP_targets,https://www.nature.com/articles/ncb2738#Sec124,Table S5 from the paper: genes that were directly regulated by ATF4 and CHOP (Chip_seq and induced by ISR): only fold changes >0
Ikbkap,HSF1_targets,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6888953/,"Table S4: HSF1 target genes in mouse by tissue/cell type. . ‘Shared targets’: List of HSF1 target genes shared between at least two examined cell types in mouse, only direct interaction"
Ubap2,HSF1_targets,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6888953/,"Table S4: HSF1 target genes in mouse by tissue/cell type. . ‘Shared targets’: List of HSF1 target genes shared between at least two examined cell types in mouse, only direct interaction"
Rgp1,HSF1_targets,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6888953/,"Table S4: HSF1 target genes in mouse by tissue/cell type. . ‘Shared targets’: List of HSF1 target genes shared between at least two examined cell types in mouse, only direct interaction"
Usp24,HSF1_targets,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6888953/,"Table S4: HSF1 target genes in mouse by tissue/cell type. . ‘Shared targets’: List of HSF1 target genes shared between at least two examined cell types in mouse, only direct interaction"
Atg4c,HSF1_targets,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6888953/,"Table S4: HSF1 target genes in mouse by tissue/cell type. . ‘Shared targets’: List of HSF1 target genes shared between at least two examined cell types in mouse, only direct interaction"
Ttc39a,HSF1_targets,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6888953/,"Table S4: HSF1 target genes in mouse by tissue/cell type. . ‘Shared targets’: List of HSF1 target genes shared between at least two examined cell types in mouse, only direct interaction"
Dock7,HSF1_targets,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6888953/,"Table S4: HSF1 target genes in mouse by tissue/cell type. . ‘Shared targets’: List of HSF1 target genes shared between at least two examined cell types in mouse, only direct interaction"
Pum1,HSF1_targets,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6888953/,"Table S4: HSF1 target genes in mouse by tissue/cell type. . ‘Shared targets’: List of HSF1 target genes shared between at least two examined cell types in mouse, only direct interaction"
Orc1,HSF1_targets,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6888953/,"Table S4: HSF1 target genes in mouse by tissue/cell type. . ‘Shared targets’: List of HSF1 target genes shared between at least two examined cell types in mouse, only direct interaction"
0610037l,HSF1_targets,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6888953/,"Table S4: HSF1 target genes in mouse by tissue/cell type. . ‘Shared targets’: List of HSF1 target genes shared between at least two examined cell types in mouse, only direct interaction"
Rragc,HSF1_targets,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6888953/,"Table S4: HSF1 target genes in mouse by tissue/cell type. . ‘Shared targets’: List of HSF1 target genes shared between at least two examined cell types in mouse, only direct interaction"
Cap1,HSF1_targets,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6888953/,"Table S4: HSF1 target genes in mouse by tissue/cell type. . ‘Shared targets’: List of HSF1 target genes shared between at least two examined cell types in mouse, only direct interaction"
Lypla2,HSF1_targets,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6888953/,"Table S4: HSF1 target genes in mouse by tissue/cell type. . ‘Shared targets’: List of HSF1 target genes shared between at least two examined cell types in mouse, only direct interaction"
Plk3,HSF1_targets,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6888953/,"Table S4: HSF1 target genes in mouse by tissue/cell type. . ‘Shared targets’: List of HSF1 target genes shared between at least two examined cell types in mouse, only direct interaction"
Mutyh,HSF1_targets,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6888953/,"Table S4: HSF1 target genes in mouse by tissue/cell type. . ‘Shared targets’: List of HSF1 target genes shared between at least two examined cell types in mouse, only direct interaction"
Ccdc163,HSF1_targets,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6888953/,"Table S4: HSF1 target genes in mouse by tissue/cell type. . ‘Shared targets’: List of HSF1 target genes shared between at least two examined cell types in mouse, only direct interaction"
Akr1a1,HSF1_targets,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6888953/,"Table S4: HSF1 target genes in mouse by tissue/cell type. . ‘Shared targets’: List of HSF1 target genes shared between at least two examined cell types in mouse, only direct interaction"
Fabp3,HSF1_targets,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6888953/,"Table S4: HSF1 target genes in mouse by tissue/cell type. . ‘Shared targets’: List of HSF1 target genes shared between at least two examined cell types in mouse, only direct interaction"
Eif3i,HSF1_targets,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6888953/,"Table S4: HSF1 target genes in mouse by tissue/cell type. . ‘Shared targets’: List of HSF1 target genes shared between at least two examined cell types in mouse, only direct interaction"
Tmem57,HSF1_targets,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6888953/,"Table S4: HSF1 target genes in mouse by tissue/cell type. . ‘Shared targets’: List of HSF1 target genes shared between at least two examined cell types in mouse, only direct interaction"
Cdca8,HSF1_targets,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6888953/,"Table S4: HSF1 target genes in mouse by tissue/cell type. . ‘Shared targets’: List of HSF1 target genes shared between at least two examined cell types in mouse, only direct interaction"
Smpdl3b,HSF1_targets,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6888953/,"Table S4: HSF1 target genes in mouse by tissue/cell type. . ‘Shared targets’: List of HSF1 target genes shared between at least two examined cell types in mouse, only direct interaction"
Mtf1,HSF1_targets,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6888953/,"Table S4: HSF1 target genes in mouse by tissue/cell type. . ‘Shared targets’: List of HSF1 target genes shared between at least two examined cell types in mouse, only direct interaction"
Srsf4,HSF1_targets,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6888953/,"Table S4: HSF1 target genes in mouse by tissue/cell type. . ‘Shared targets’: List of HSF1 target genes shared between at least two examined cell types in mouse, only direct interaction"
Psmc2,HSF1_targets,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6888953/,"Table S4: HSF1 target genes in mouse by tissue/cell type. . ‘Shared targets’: List of HSF1 target genes shared between at least two examined cell types in mouse, only direct interaction"
Tas1r1,HSF1_targets,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6888953/,"Table S4: HSF1 target genes in mouse by tissue/cell type. . ‘Shared targets’: List of HSF1 target genes shared between at least two examined cell types in mouse, only direct interaction"
Vamp3,HSF1_targets,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6888953/,"Table S4: HSF1 target genes in mouse by tissue/cell type. . ‘Shared targets’: List of HSF1 target genes shared between at least two examined cell types in mouse, only direct interaction"
Per3,HSF1_targets,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6888953/,"Table S4: HSF1 target genes in mouse by tissue/cell type. . ‘Shared targets’: List of HSF1 target genes shared between at least two examined cell types in mouse, only direct interaction"
Ube4b,HSF1_targets,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6888953/,"Table S4: HSF1 target genes in mouse by tissue/cell type. . ‘Shared targets’: List of HSF1 target genes shared between at least two examined cell types in mouse, only direct interaction"
Angptl7,HSF1_targets,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6888953/,"Table S4: HSF1 target genes in mouse by tissue/cell type. . ‘Shared targets’: List of HSF1 target genes shared between at least two examined cell types in mouse, only direct interaction"
Tomm7,HSF1_targets,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6888953/,"Table S4: HSF1 target genes in mouse by tissue/cell type. . ‘Shared targets’: List of HSF1 target genes shared between at least two examined cell types in mouse, only direct interaction"
Dnajc2,HSF1_targets,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6888953/,"Table S4: HSF1 target genes in mouse by tissue/cell type. . ‘Shared targets’: List of HSF1 target genes shared between at least two examined cell types in mouse, only direct interaction"
Pmpcb,HSF1_targets,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6888953/,"Table S4: HSF1 target genes in mouse by tissue/cell type. . ‘Shared targets’: List of HSF1 target genes shared between at least two examined cell types in mouse, only direct interaction"
Miip,HSF1_targets,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6888953/,"Table S4: HSF1 target genes in mouse by tissue/cell type. . ‘Shared targets’: List of HSF1 target genes shared between at least two examined cell types in mouse, only direct interaction"
Acap3,HSF1_targets,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6888953/,"Table S4: HSF1 target genes in mouse by tissue/cell type. . ‘Shared targets’: List of HSF1 target genes shared between at least two examined cell types in mouse, only direct interaction"
Cdk11b,HSF1_targets,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6888953/,"Table S4: HSF1 target genes in mouse by tissue/cell type. . ‘Shared targets’: List of HSF1 target genes shared between at least two examined cell types in mouse, only direct interaction"
Gnb1,HSF1_targets,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6888953/,"Table S4: HSF1 target genes in mouse by tissue/cell type. . ‘Shared targets’: List of HSF1 target genes shared between at least two examined cell types in mouse, only direct interaction"
